eventDate,venue,city,country,tour_name,festival,days_since_last_concert,new_album,month,year,days_since_new_album,4 no Uta,Akatsuki,Akumu no Rondo,Amore -Sousei-,Arkadia,Awadama Fever,BABYMETAL DEATH,Believing,Brand New Day,Breaking the Law,BxMxC,Catch Me If You Can,Chokotto Love,DA DA DANCE,Distortion,Divine Attack - Shingeki -,Doki Doki ☆ Morning,Doki Doki ☆ Morning / Iine!,Elevator Girl,Episode II Intro Video,FUTURE METAL,From Dusk Till Dawn,GJ!,Gimme Chocolate!!,Headbangeeeeerrrrr!!!!!,IN THE NAME OF,Iine!,"Ijime, Dame, Zettai",Intro Video,KARATE,Kagerou,Kimi to Anime ga Mitai~Answer for Animation With You,Kon! Kon!,LOVE Machine,Light and Darkness,MAYA,META! Meta Taro,METAL KINGDOM,METALI!!,METALIZM,Megitsune,Mirror Mirror,Mischiefs of Metal Gods,Monochrome,"NO RAIN, NO RAINBOW",Night Night Burn!,Oh! MAJINAI,Onedari Daisakusen,Over The Future,PA PA YA!!,Painkiller,Painkiller / Breaking the Law,RATATATA,Revolutionary Étude,Road of Resistance,Shanti Shanti Shanti,Shine,Sis. Anger,Song 3,Starlight,Syncopation,THE LEGEND,THE ONE,Tales of The Destinies,Tamashii no Refrain,The Hill of Wisteria,Time Wave,Uki Uki ★ Midnight,Video,White Love,YAVA!
2013-07-07,Hibiya Yagai Ongakudou,Tokyo,Japan,METAL RESISTANCE SUMMER FES TOUR 2013,True,7.0,False,7,2013,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-14,Rock-May-Kan,Tokyo,Japan,Single,False,7.0,False,7,2013,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-15,CLUB CITTA',Kawasaki,Japan,METAL RESISTANCE SUMMER FES TOUR 2013,True,1.0,False,7,2013,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-21,Iwamizawa Kouen,Iwamizawa,Japan,METAL RESISTANCE SUMMER FES TOUR 2013,True,6.0,False,7,2013,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-04,Hitachi Kaihin Kouen,Hitachinaka,Japan,METAL RESISTANCE SUMMER FES TOUR 2013,True,14.0,False,8,2013,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-10,Makuhari Messe Kokusai Tenjijou Hall 8,Chiba,Japan,METAL RESISTANCE SUMMER FES TOUR 2013,True,6.0,False,8,2013,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-11,Maishima,Osaka,Japan,METAL RESISTANCE SUMMER FES TOUR 2013,True,1.0,False,8,2013,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-07,Jakarta Convention Centre,Jakarta,Indonesia,METAL RESISTANCE SUMMER FES TOUR 2013,True,27.0,False,9,2013,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-22,Karasuma Hantou Shibafu Hiroba,Kusatsu,Japan,METAL RESISTANCE SUMMER FES TOUR 2013,True,15.0,False,9,2013,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-18,Akasaka BLITZ,Tokyo,Japan,Single,True,26.0,False,10,2013,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
